ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 466671, 471140, 512859, 487141, 466671, 497301, 502699,   4469, 984442, 476089,MadisonHeightsPrecinct9
 466925, 471245, 512772, 487228, 466925, 497121, 502879,   4320, 984349, 474286,MadisonHeightsPrecinct8
 467182, 471322, 512703, 487297, 467182, 496952, 503048,   4140, 984249, 472152,MadisonHeightsPrecinct7
 467435, 471399, 512619, 487381, 467435, 496783, 503217,   3964, 984164, 470384,MadisonHeightsPrecinct6
 467571, 471470, 512546, 487454, 467571, 496710, 503290,   3899, 984164, 470121,MadisonHeightsPrecinct5
 467664, 471468, 512533, 487467, 467664, 496703, 503297,   3804, 984170, 468994,MadisonHeightsPrecinct4
 467874, 471594, 512430, 487570, 467874, 496572, 503428,   3720, 984142, 467773,MadisonHeightsPrecinct3
 468122, 471706, 512321, 487679, 468122, 496409, 503591,   3584, 984088, 466508,MadisonHeightsPrecinct2
 468378, 471870, 512171, 487829, 468378, 496234, 503766,   3492, 984063, 465393,MadisonHeightsPrecinct1
 468658, 472028, 512032, 487968, 468658, 496042, 503958,   3370, 984010, 464099,LathrupVillagePrecinct2
 469864, 473236, 510800, 489200, 469864, 494781, 505219,   3372, 983981, 462570,LathrupVillagePrecinct1
 470878, 474294, 509726, 490274, 470878, 493717, 506283,   3416, 983991, 460739,KeegoHarborPrecinct1
 470991, 474321, 509700, 490300, 470991, 493712, 506288,   3330, 984012, 459138,HuntingtonWoodsPrecinct5
 471000, 474371, 509649, 490351, 471000, 493604, 506396,   3371, 983955, 460968,LakeAngelusPrecinct1
 471532, 474917, 509100, 490900, 471532, 493149, 506851,   3385, 984049, 458212,HuntingtonWoodsPrecinct4
 472161, 475565, 508427, 491573, 472161, 492479, 507521,   3404, 984052, 457310,HuntingtonWoodsPrecinct3
 472745, 476175, 507812, 492188, 472745, 491873, 508127,   3430, 984061, 456296,HuntingtonWoodsPrecinct2
 473287, 476739, 507244, 492756, 473287, 491304, 508696,   3452, 984060, 455410,HuntingtonWoodsPrecinct1
 474065, 477570, 506399, 493601, 474065, 490474, 509526,   3505, 984075, 454266,HazelParkPrecinct6
 474495, 477876, 506119, 493881, 474495, 490135, 509865,   3381, 984016, 453138,HazelParkPrecinct5
 474953, 478199, 505812, 494188, 474953, 489785, 510215,   3246, 983973, 451661,HazelParkPrecinct4
 474960, 467642, 519733, 480267, 474960, 499375, 500625,  -7318, 979642,  28834,BloomfieldTownshipPrecinct15
 475116, 467695, 519412, 480588, 475116, 498763, 501237,  -7421, 979351,  26684,BloomfieldTownshipPrecinct14
 475227, 478413, 505610, 494390, 475227, 489552, 510448,   3186, 983942, 450683,HazelParkPrecinct3
 475469, 478548, 505494, 494506, 475469, 489389, 510611,   3079, 983895, 449417,HazelParkPrecinct2
 475688, 464543, 522723, 477277, 475688, 499325, 500675, -11145, 976602,  33379,BloomfieldTownshipPrecinct17
 476030, 478951, 505110, 494890, 476030, 488980, 511020,   2921, 983870, 447860,HazelParkPrecinct1
 476609, 479391, 504686, 495314, 476609, 488496, 511504,   2782, 983810, 446380,FerndalePrecinct9
 477104, 464805, 522582, 477418, 477104, 498096, 501904, -12299, 975514,  35204,BloomfieldTownshipPrecinct18
 477776, 480551, 503541, 496459, 477776, 487341, 512659,   2775, 983800, 444760,FerndalePrecinct8
 478354, 481118, 502984, 497016, 478354, 486790, 513210,   2764, 983806, 443934,FerndalePrecinct7
 479065, 481778, 502326, 497674, 479065, 486107, 513893,   2713, 983781, 442670,FerndalePrecinct6
 479770, 482435, 501688, 498312, 479770, 485471, 514529,   2665, 983783, 441278,FerndalePrecinct5
 480847, 483517, 500636, 499364, 480847, 484426, 515574,   2670, 983790, 439734,FerndalePrecinct4
 481211, 474361, 512492, 487508, 481211, 492615, 507385,  -6850, 980123,  25255,BloomfieldTownshipPrecinct13
 481745, 484398, 499786, 500214, 481745, 483600, 516400,   2653, 983814, 438325,FerndalePrecinct3
 482913, 485592, 498601, 501399, 482913, 482444, 517556,   2679, 983843, 436790,FerndalePrecinct2
 483768, 472639, 514514, 485486, 483768, 491240, 508760, -11129, 976726,  31451,BloomfieldTownshipPrecinct16
 483880, 486532, 497679, 502321, 483880, 481514, 518486,   2652, 983835, 435391,FerndalePrecinct1
 484233, 473984, 513197, 486803, 484233, 490670, 509330, -10249, 977473,  36978,BrandonTownshipPrecinct1
 485352, 488034, 496169, 503831, 485352, 480021, 519979,   2682, 983852, 433326,FarmingtonHillsPrecinct27
 485360, 488041, 496162, 503838, 485360, 480015, 519985,   2681, 983853, 433340,FentonPrecinct2
 486065, 488700, 495541, 504459, 486065, 479416, 520584,   2635, 983875, 431514,FarmingtonHillsPrecinct26
 486803, 489369, 494889, 505111, 486803, 478773, 521227,   2566, 983884, 429518,FarmingtonHillsPrecinct25
 487553, 490097, 494152, 505848, 487553, 478046, 521954,   2544, 983894, 427360,FarmingtonHillsPrecinct24
 487765, 480774, 506464, 493536, 487765, 485786, 514214,  -6991, 979322,  23745,BloomfieldTownshipPrecinct12
 488000, 490578, 493658, 506342, 488000, 477592, 522408,   2578, 983934, 425053,FarmingtonHillsPrecinct23
 488299, 490933, 493306, 506694, 488299, 477298, 522702,   2634, 983992, 423406,FarmingtonHillsPrecinct22
 488623, 491259, 492972, 507028, 488623, 476988, 523012,   2636, 984016, 421926,FarmingtonHillsPrecinct21
 489278, 491818, 492406, 507594, 489278, 476412, 523588,   2540, 984006, 419775,FarmingtonHillsPrecinct20
 490318, 492818, 491410, 508590, 490318, 475426, 524574,   2500, 984016, 417547,FarmingtonHillsPrecinct19
 490531, 481974, 504997, 495003, 490531, 483721, 516279,  -8557, 978724,  38917,BrandonTownshipPrecinct2
 491241, 493707, 490496, 509504, 491241, 474516, 525484,   2466, 984020, 415728,FarmingtonHillsPrecinct18
 491540, 494006, 490193, 509807, 491540, 474219, 525781,   2466, 984026, 414426,FarmingtonHillsPrecinct17
 491639, 485386, 501427, 498573, 491639, 481172, 518828,  -6253, 979745,  22069,BloomfieldTownshipPrecinct11
 492638, 495125, 489071, 510929, 492638, 473151, 526849,   2487, 984080, 412940,FarmingtonHillsPrecinct16
 493374, 495909, 488270, 511730, 493374, 472440, 527560,   2535, 984170, 410672,FarmingtonHillsPrecinct15
 493603, 496179, 487995, 512005, 493603, 472193, 527807,   2576, 984198, 409584,FarmingtonHillsPrecinct14
 493936, 496524, 487640, 512360, 493936, 471876, 528124,   2588, 984236, 407579,FarmingtonHillsPrecinct13
 494547, 497151, 487021, 512979, 494547, 471268, 528732,   2604, 984247, 405955,FarmingtonHillsPrecinct12
 495551, 498188, 485964, 514036, 495551, 470222, 529778,   2637, 984258, 404192,FarmingtonHillsPrecinct11
 495860, 489160, 497535, 502465, 495860, 476812, 523188,  -6700, 979277,  20895,BloomfieldTownshipPrecinct10
 496497, 499126, 485013, 514987, 496497, 469296, 530704,   2629, 984283, 402407,FarmingtonHillsPrecinct10
 496646, 492467, 494118, 505882, 496646, 475802, 524198,  -4179, 981684,  19382,BloomfieldTownshipPrecinct9
 497146, 490757, 495878, 504122, 497146, 476271, 523729,  -6389, 980393,  41006,BrandonTownshipPrecinct3
 497503, 494806, 492109, 507891, 497503, 473805, 526195,  -2697, 981696,  17427,BloomfieldTownshipPrecinct8
 497572, 500292, 483870, 516130, 497572, 468251, 531749,   2720, 984381, 400024,FarmingtonHillsPrecinct9
 498343, 501081, 483070, 516930, 498343, 467491, 532509,   2738, 984421, 397714,FarmingtonHillsPrecinct8
 499018, 501824, 482302, 517698, 499018, 466790, 533210,   2806, 984488, 396015,FarmingtonHillsPrecinct7
 499667, 502514, 481596, 518404, 499667, 466101, 533899,   2847, 984505, 394058,FarmingtonHillsPrecinct6
 500207, 503040, 481067, 518933, 500207, 465559, 534441,   2833, 984492, 393161,FarmingtonHillsPrecinct5
 500410, 503197, 480888, 519112, 500410, 465336, 534664,   2787, 984448, 391409,FarmingtonHillsPrecinct4
 501299, 504158, 479882, 520118, 501299, 464378, 535622,   2859, 984496, 389368,FarmingtonHillsPrecinct3
 501643, 506327, 480279, 519721, 501643, 466557, 533443,   4684, 986278,  12170,BloomfieldTownshipPrecinct5
 502413, 505352, 478701, 521299, 502413, 463222, 536778,   2939, 984521, 387181,FarmingtonHillsPrecinct2
 503063, 504216, 482952, 517048, 503063, 466589, 533411,   1153, 983637,  13873,BloomfieldTownshipPrecinct6
 503587, 506518, 477517, 522483, 503587, 462009, 537991,   2931, 984492, 385230,FarmingtonHillsPrecinct1
 504001, 502984, 484122, 515878, 504001, 466086, 533914,  -1017, 981964,  15746,BloomfieldTownshipPrecinct7
 504557, 507480, 476542, 523458, 504557, 461004, 538996,   2923, 984462, 383439,FarmingtonPrecinct6
 504639, 500927, 485153, 514847, 504639, 467636, 532364,  -3712, 982483,  44186,BrandonTownshipPrecinct5
 504864, 507875, 476176, 523824, 504864, 460667, 539333,   3011, 984491, 382493,FarmingtonPrecinct5
 504920, 499676, 486646, 513354, 504920, 468186, 531814,  -5244, 981540,  43284,BrandonTownshipPrecinct4
 505165, 508236, 475806, 524194, 505165, 460337, 539663,   3071, 984531, 381592,FarmingtonPrecinct4
 505662, 502909, 483122, 516878, 505662, 466111, 533889,  -2753, 982989,  45030,BrandonTownshipPrecinct6
 505686, 508750, 475295, 524705, 505686, 459843, 540157,   3064, 984548, 380534,FarmingtonPrecinct3
 506083, 509156, 474908, 525092, 506083, 459478, 540522,   3073, 984570, 379404,FarmingtonPrecinct2
 506558, 509641, 474430, 525570, 506558, 459005, 540995,   3083, 984575, 378150,FarmingtonPrecinct1
 506857, 510035, 474054, 525946, 506857, 458682, 541318,   3178, 984628, 377250,ClawsonPrecinct5
 507238, 510418, 473680, 526320, 507238, 458335, 541665,   3180, 984655, 375498,ClawsonPrecinct4
 507587, 510828, 473288, 526712, 507587, 458014, 541986,   3241, 984726, 374233,ClawsonPrecinct3
 507909, 511179, 472941, 527059, 507909, 457715, 542285,   3270, 984774, 372828,ClawsonPrecinct2
 508340, 511654, 472483, 527517, 508340, 457308, 542692,   3314, 984825, 371454,ClawsonPrecinct1
 508755, 506708, 479440, 520560, 508755, 462048, 537952,  -2047, 982608,  50828,CommerceTownshipPrecinct3
 508942, 506533, 479439, 520561, 508942, 462258, 537742,  -2409, 982819,  46911,CommerceTownshipPrecinct1
 508992, 512526, 471619, 528381, 508992, 456623, 543377,   3534, 985004, 365634,BirminghamPrecinct9
 509054, 512454, 471685, 528315, 509054, 456600, 543400,   3400, 984915, 367385,BloomfieldHillsPrecinct1
