ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 468260, 603703, 379365, 620635, 595767, 377777, 622223, 539680, 507940,   1890,SpringfieldTownshipPrecinct4
 468900, 585199, 393656, 606344, 575248, 389925, 610075, 549755, 518655,   1608,OrionTownshipPrecinct11
 469725, 291569, 691197, 308803, 285514, 691197, 308803, 530275, 500000,   2147,PontiacPrecinct12
 470240, 296918, 685924, 314076, 287114, 682072, 317928, 549020, 519260,   2856,PontiacPrecinct11
 471640, 413499, 565513, 434487, 401020, 558706, 441294, 562395, 534035,   1763,MadisonHeightsPrecinct2
 471650, 587058, 401601, 598399, 578052, 398265, 601735, 545030, 516680,   2998,CommerceTownshipPrecinct4
 471935, 513875, 466791, 533209, 508574, 467103, 532897, 526505, 498440,   3207,WaterfordTownshipPrecinct19
 472000, 608000, 368000, 632000, 594400, 360000, 640000, 568000, 540000,   1250,BrandonTownshipPrecinct6
 473460, 522010, 465188, 534812, 514205, 462691, 537309, 539025, 512485,   3203,RochesterHillsPrecinct6
 473695, 434720, 542802, 457198, 425155, 538498, 461502, 547825, 521520,   2091,HazelParkPrecinct3
 473725, 527062, 455596, 544404, 514450, 448239, 551761, 563060, 536785,   1903,CommerceTownshipPrecinct14
 474290, 556866, 428312, 571688, 549606, 426194, 573806, 536300, 510590,   3306,WaterfordTownshipPrecinct9
 476620, 609218, 372411, 627589, 599532, 367401, 632599, 548430, 525050,   2994,WhiteLakeTownshipPrecinct8
 478025, 362365, 618857, 381143, 348381, 609268, 390732, 569920, 547945,   2503,HazelParkPrecinct2
 479725, 684542, 301487, 698513, 678684, 299684, 700316, 529290, 509015,   2219,RoseTownshipPrecinct2
 479825, 672780, 311078, 688922, 666911, 309244, 690756, 529345, 509170,   2726,SpringfieldTownshipPrecinct3
 480055, 574522, 405243, 594757, 567968, 402678, 597322, 532770, 512825,   3509,WaterfordTownshipPrecinct2
 482155, 526489, 455668, 544332, 519077, 451825, 548175, 537060, 519215,   3643,WaterfordTownshipPrecinct20
 482440, 514687, 465517, 534483, 505747, 460089, 539911, 544700, 527140,   3132,WaterfordTownshipPrecinct21
 483245, 687473, 300795, 699205, 679095, 295768, 704232, 541890, 525135,   2387,RoseTownshipPrecinct3
 484590, 558705, 429583, 570417, 548536, 422496, 577504, 550845, 535435,   3245,WaterfordTownshipPrecinct7
 485850, 608634, 381104, 618896, 603680, 378980, 621020, 524770, 510620,   2826,OaklandTownshipPrecinct2
 487420, 375471, 601886, 398114, 369182, 598113, 401887, 531445, 518865,   1590,HazelParkPrecinct4
 488460, 348614, 629617, 370383, 337401, 620712, 379288, 556065, 544525,   3032,MadisonHeightsPrecinct11
 489870, 544570, 438006, 561994, 540518, 435980, 564020, 520260, 510130,   2468,OrionTownshipPrecinct7
 491975, 720995, 266961, 733039, 714171, 261742, 738258, 534120, 526095,   2491,AddisonTownshipPrecinct1
 493765, 554261, 430769, 569231, 548024, 425779, 574221, 531185, 524950,   2405,CommerceTownshipPrecinct6
 494135, 643401, 341348, 658652, 638123, 337243, 662757, 526390, 520525,   1705,RoseTownshipPrecinct1
 495325, 344451, 635286, 364714, 340087, 631857, 368143, 521820, 517145,   3208,FarmingtonHillsPrecinct26
 495475, 237104, 759276, 240724, 233031, 756108, 243892, 520365, 515840,   2210,SouthfieldPrecinct13
 497090, 618075, 355685, 644315, 609912, 348104, 651896, 540815, 537905,   1715,HighlandTownshipPrecinct3
 497865, 470311, 511747, 488253, 464758, 506621, 493379, 527765, 525630,   2341,MadisonHeightsPrecinct10
 498190, 590431, 384922, 615078, 587169, 382022, 617978, 516310, 514500,   2759,OrionTownshipPrecinct2
 498425, 682190, 299559, 700441, 677784, 295468, 704532, 522030, 520455,   3178,BrandonTownshipPrecinct3
 500000, 216901, 758685, 241315, 209389, 751173, 248827, 537560, 537560,   1065,PontiacPrecinct18
 503240, 449190, 541747, 458253, 450485, 542394, 457606, 493525, 496765,   1545,RochesterHillsPrecinct20
 505060, 398583, 585735, 414265, 389479, 575619, 424381, 545520, 550580,   1977,NoviPrecinct22
 508680, 383969, 599537, 400463, 379918, 593750, 406250, 520255, 528935,   3456,FarmingtonHillsPrecinct21
 510280, 699348, 286252, 713748, 697634, 282482, 717518, 508570, 518850,   2917,OxfordTownshipPrecinct6
 510785, 608283, 374029, 625971, 605263, 368852, 631148, 515100, 525885,   2318,WhiteLakeTownshipPrecinct7
 512450, 444721, 550049, 449951, 441484, 544322, 455678, 516185, 528635,   4016,WestBloomfieldTownshipPrecinct23
 513485, 485338, 505898, 494102, 485338, 503201, 496799, 500000, 513485,   2967,FarmingtonHillsPrecinct5
 515075, 343216, 635678, 364322, 341206, 630653, 369347, 510050, 525125,   1990,AuburnHillsPrecinct8
 515105, 282139, 699741, 300259, 278257, 692838, 307162, 519410, 534515,   2318,AuburnHillsPrecinct7
 516420, 565851, 422838, 577162, 564757, 418460, 581540, 505470, 521890,   2741,RochesterHillsPrecinct12
 516640, 364725, 626955, 373045, 363394, 622296, 377704, 506655, 523295,   3005,WestBloomfieldTownshipPrecinct1
 517695, 205257, 788169, 211831, 203741, 783114, 216886, 507580, 525275,   1978,OakParkPrecinct6
 518280, 209628, 772090, 227910, 213893, 772699, 227301, 478675, 496955,   1641,SouthfieldPrecinct5
 518885, 331273, 658771, 341229, 328527, 652248, 347752, 513730, 532615,   2913,WestBloomfieldTownshipPrecinct11
 520215, 572102, 407681, 592319, 568733, 400269, 599731, 516845, 537060,   1484,IndependenceTownshipPrecinct12
 520525, 604477, 377985, 622015, 598134, 367537, 632463, 531715, 552240,   2680,WhiteLakeTownshipPrecinct10
 520915, 239776, 738847, 261153, 235130, 730018, 269982, 523230, 544145,   2152,PontiacPrecinct13
 521295, 338381, 650733, 349267, 338381, 646474, 353526, 500000, 521295,   2113,WestBloomfieldTownshipPrecinct7
 521390, 501361, 488136, 511864, 497860, 480357, 519643, 517505, 538895,   2571,WalledLakePrecinct2
 521760, 655841, 328757, 671243, 654837, 323401, 676599, 505020, 526780,   2987,BrandonTownshipPrecinct2
 522905, 579842, 408049, 591951, 577552, 401178, 598822, 511450, 534355,   3056,LyonTownshipPrecinct1
 523705, 392241, 592241, 407759, 392672, 587931, 412069, 497845, 521550,   2320,TroyPrecinct27
 524485, 353197, 639727, 360273, 352380, 634013, 365987, 504085, 528570,   3675,WestBloomfieldTownshipPrecinct15
 527375, 484489, 509732, 490268, 482360, 502128, 497872, 510645, 538020,   3288,CommerceTownshipPrecinct3
 527545, 289807, 695316, 304684, 288154, 688154, 311846, 508265, 535810,   1815,AuburnHillsPrecinct2
 528070, 467121, 527666, 472334, 467522, 522453, 477547, 497995, 526065,   2494,WestBloomfieldTownshipPrecinct18
 529045, 601161, 386253, 613747, 601807, 381090, 618910, 496770, 525815,   3099,HollyTownshipPrecinct4
 529900, 577751, 400717, 599283, 575757, 392743, 607257, 509970, 539870,   2508,WhiteLakeTownshipPrecinct9
 530915, 485103, 503653, 496347, 474985, 487352, 512648, 550590, 581505,   1779,MadisonHeightsPrecinct5
 531110, 366666, 617777, 382223, 364888, 609777, 390223, 508890, 540000,   2250,NoviPrecinct11
 531545, 217665, 758359, 241641, 215141, 749526, 250474, 512620, 544165,   1585,PontiacPrecinct17
 532395, 404507, 589577, 410423, 405352, 583943, 416057, 495775, 528170,   3550,WestBloomfieldTownshipPrecinct22
 533445, 607692, 376923, 623077, 607692, 370234, 629766, 500000, 533445,   2990,HighlandTownshipPrecinct4
 534565, 375762, 615697, 384303, 376575, 609597, 390403, 495935, 530500,   2459,WestBloomfieldTownshipPrecinct21
 535365, 286724, 693688, 306312, 285092, 684983, 315017, 508160, 543525,   1838,PontiacPrecinct4
 535740, 478951, 502382, 497618, 474185, 490468, 509532, 523830, 559570,   2518,KeegoHarborPrecinct1
